id_media valeur chant ligne position_ds_ligne
935 L'enfant 1 99 1
936 qui 1 99 2
937 de 1 99 3
938 travers 1 99 4
939 pousse 1 99 5
940 dans 1 99 6
941 le 1 99 7
942 bassin, 1 99 8
943 S'il 1 100 0
944 sera 1 100 1
945 de 1 100 2
946 sa 1 100 3
947 mère, 1 100 4
948 en 1 100 5
949 naissant, 1 100 6
950 l'assassin 1 100 7
951 ; 1 100 8
952 — 1 101 0
953 La 1 101 1
954 fleur, 1 101 2
955 si 1 101 3
956 son 1 101 4
957 parfum 1 101 5
958 renaîtra, 1 101 6
959 qu'on 1 101 7
960 asperge, 1 101 8
961 Sous 1 102 0
962 un 1 102 1
963 arbre 1 102 2
964 écarté, 1 102 3
965 d'un 1 102 4
966 jet 1 102 5
967 qui 1 102 6
968 sent 1 102 7
969 l'asperge 1 102 8
970 ; 1 102 9
971 — 1 103 0
972 Lorsque 1 103 1
973 à 1 103 2
974 l'église 1 103 3
975 un 1 103 4
976 juif 1 103 5
977 cherche 1 103 6
978 un 1 103 7
979 coin 1 103 8
980 dans 1 103 9
981 la 1 103 10
982 nef, 1 103 11
983 Pourquoi 1 104 0
984 chez 1 104 1
985 Dieu 1 104 2
986 bas 1 104 3
987 on 1 104 4
988 l'a 1 104 5
989 mis, 1 104 6
990 son 1 104 7
991 couvre-chef 1 104 8
992 ; 1 104 9
993 — 1 105 0
994 Le 1 105 1
995 journal, 1 105 2
996 qui 1 105 3
997 le 1 105 4
998 plus 1 105 5
999 sur 1 105 6
1000 son 1 105 7
1001 revers 1 105 8
1002 pullule, 1 105 9
1003 Du 1 106 0
1004 dentifrice, 1 106 1
1005 du 1 106 2
1006 prêt 1 106 3
1007 ou 1 106 4
1008 de 1 106 5
1009 la 1 106 6
1010 pilule 1 106 7
1011 ; 1 106 8
1012 — 1 107 0
1013 Réfléchissant 1 107 1
1014 sur 1 107 2
1015 son 1 107 3
1016 passé, 1 107 4
1017 si 1 107 5
1018 pour 1 107 6
